slot_id,day,start_time,end_time
TS001,Monday,08:00,08:55
TS002,Monday,09:00,09:55
TS003,Monday,09:55,10:50
TS004,Monday,11:10,12:05
TS005,Monday,12:05,13:00
TS006,Monday,13:00,13:55
TS007,Monday,13:55,14:50
TS008,Monday,15:10,16:05
TS009,Tuesday,08:00,08:55
TS010,Tuesday,09:00,09:55
TS011,Tuesday,09:55,10:50
TS012,Tuesday,11:10,12:05
TS013,Tuesday,12:05,13:00
TS014,Tuesday,13:00,13:55
TS015,Tuesday,13:55,14:50
TS016,Tuesday,15:10,16:05
TS017,Wednesday,08:00,08:55
TS018,Wednesday,09:00,09:55
TS019,Wednesday,09:55,10:50
TS020,Wednesday,11:10,12:05
TS021,Wednesday,12:05,13:00
TS022,Wednesday,13:00,13:55
TS023,Wednesday,13:55,14:50
TS024,Wednesday,15:10,16:05
TS025,Thursday,08:00,08:55
TS026,Thursday,09:00,09:55
TS027,Thursday,09:55,10:50
TS028,Thursday,11:10,12:05
TS029,Thursday,12:05,13:00
TS030,Thursday,13:00,13:55
TS031,Thursday,13:55,14:50
TS032,Thursday,15:10,16:05
TS033,Friday,08:00,08:55
TS034,Friday,09:00,09:55
TS035,Friday,09:55,10:50
TS036,Friday,11:10,12:05
TS037,Friday,12:05,13:00
TS038,Friday,13:00,13:55
TS039,Friday,13:55,14:50
TS040,Friday,15:10,16:05
TS041,Saturday,08:00,08:55
TS042,Saturday,09:00,09:55
TS043,Saturday,09:55,10:50
TS044,Saturday,11:10,12:05
TS045,Saturday,12:05,13:00
TS046,Saturday,13:00,13:55
TS047,Saturday,13:55,14:50
TS048,Saturday,15:10,16:05
